From,To,Element,Threshold,Groups
Amygdala_R_t_0,Temporal_Mid_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Amygdala_R_t_1,Temporal_Mid_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
bmi_t_0,Angular_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
bmi_t_0,Frontal_Sup_Orb_R_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
bmi_t_0,ParaHippocampal_R_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
bmi_t_0,Thalamus_R_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
bmi_t_1,Angular_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
bmi_t_1,Calcarine_R_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
bmi_t_1,Frontal_Sup_Orb_R_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
bmi_t_1,Occipital_Inf_R_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
bmi_t_1,ParaHippocampal_R_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
bmi_t_1,Thalamus_R_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Caudate_L_t_1,Cerebelum_Crus1_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Cerebelum_10_R_t_0,Amygdala_R_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Cerebelum_10_R_t_1,Amygdala_R_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Cerebelum_3_L_t_0,Rectus_L_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Cerebelum_3_L_t_1,Rectus_L_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Cerebelum_4_5_R_t_0,Calcarine_R_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Cerebelum_4_5_R_t_0,Vermis_10_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Cerebelum_4_5_R_t_1,Calcarine_R_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Cerebelum_4_5_R_t_1,Cerebelum_3_R_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Cerebelum_4_5_R_t_1,Vermis_10_t_1,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
Cerebelum_6_L_t_0,Amygdala_R_t_0,Shared PDS Encoding & PDS Retrieval,0,PDS Encoding & PDS Retrieval
